"","Year","Stratum","Route"
"1465",2007,"CA-ON-13","68-211"
"1466",2008,"CA-ON-13","68-211"
"1467",2009,"CA-ON-13","68-211"
"1468",2010,"CA-ON-13","68-211"
"1469",2011,"CA-ON-13","68-211"
"1470",2012,"CA-ON-13","68-211"
"1471",2002,"CA-ON-12","68-213"
"1472",2003,"CA-ON-12","68-213"
"1473",2005,"CA-ON-12","68-213"
"1474",2006,"CA-ON-12","68-213"
"1475",2008,"CA-ON-12","68-213"
"1476",2010,"CA-ON-12","68-213"
"1477",2011,"CA-ON-12","68-213"
"1478",2006,"CA-ON-12","68-215"
"1479",2008,"CA-ON-12","68-215"
"1480",2009,"CA-ON-12","68-215"
"1481",2010,"CA-ON-12","68-215"
"1482",2011,"CA-ON-12","68-215"
"1483",2012,"CA-ON-12","68-215"
"1484",2003,"CA-ON-12","68-215"
"1485",2004,"CA-ON-12","68-215"
"1486",2002,"CA-ON-12","68-218"
"1487",2003,"CA-ON-12","68-218"
"1488",2004,"CA-ON-12","68-218"
"1489",2005,"CA-ON-12","68-218"
"1490",2006,"CA-ON-12","68-218"
"1491",2007,"CA-ON-12","68-218"
"1492",2008,"CA-ON-12","68-218"
"1493",2009,"CA-ON-12","68-218"
"1494",2010,"CA-ON-12","68-218"
"1495",2011,"CA-ON-12","68-218"
"1496",2012,"CA-ON-12","68-218"
"1497",2002,"CA-ON-13","68-220"
"1498",2003,"CA-ON-13","68-220"
"1499",2004,"CA-ON-13","68-220"
"1500",2005,"CA-ON-13","68-220"
"1501",2006,"CA-ON-13","68-220"
"1502",2007,"CA-ON-13","68-220"
"1503",2008,"CA-ON-13","68-220"
"1504",2009,"CA-ON-13","68-220"
"1505",2010,"CA-ON-13","68-220"
"1506",2012,"CA-ON-13","68-220"
"1507",2002,"CA-ON-12","68-226"
"1508",2004,"CA-ON-12","68-226"
"1509",2005,"CA-ON-12","68-226"
"1510",2006,"CA-ON-12","68-226"
"1511",2007,"CA-ON-12","68-226"
"1512",2008,"CA-ON-12","68-226"
"1513",2009,"CA-ON-12","68-226"
"1514",2011,"CA-ON-12","68-226"
"1515",2007,"CA-ON-12","68-228"
"1516",2008,"CA-ON-12","68-228"
"1517",2009,"CA-ON-12","68-228"
"1518",2010,"CA-ON-12","68-228"
"1519",2011,"CA-ON-12","68-228"
"1520",2012,"CA-ON-12","68-228"
"1521",2002,"CA-ON-13","68-23"
"1522",2003,"CA-ON-13","68-23"
"1523",2004,"CA-ON-13","68-23"
"1524",2005,"CA-ON-13","68-23"
"1525",2006,"CA-ON-13","68-23"
"1526",2007,"CA-ON-13","68-23"
"1527",2008,"CA-ON-13","68-23"
"1528",2009,"CA-ON-13","68-23"
"1529",2002,"CA-ON-12","68-241"
"1530",2003,"CA-ON-12","68-241"
"1531",2004,"CA-ON-12","68-241"
"1532",2005,"CA-ON-12","68-241"
"1533",2007,"CA-ON-12","68-241"
"1534",2006,"CA-ON-12","68-244"
"1535",2007,"CA-ON-12","68-244"
"1536",2009,"CA-ON-12","68-244"
"1537",2010,"CA-ON-12","68-244"
"1538",2007,"CA-ON-12","68-248"
"1539",2008,"CA-ON-12","68-248"
"1540",2010,"CA-ON-12","68-248"
"1541",2011,"CA-ON-12","68-248"
"1542",2012,"CA-ON-12","68-248"
"1543",2005,"CA-ON-12","68-251"
"1544",2006,"CA-ON-12","68-251"
"1545",2007,"CA-ON-12","68-251"
"1546",2008,"CA-ON-12","68-251"
"1547",2009,"CA-ON-12","68-251"
"1548",2010,"CA-ON-12","68-251"
"1549",2011,"CA-ON-12","68-251"
"1550",2012,"CA-ON-12","68-251"
"1551",2003,"CA-ON-12","68-251"
"1552",2004,"CA-ON-12","68-251"
"1553",2007,"CA-ON-12","68-252"
"1554",2008,"CA-ON-12","68-252"
"1555",2009,"CA-ON-12","68-252"
"1556",2010,"CA-ON-12","68-252"
"1557",2011,"CA-ON-12","68-252"
"1558",2012,"CA-ON-12","68-252"
"1559",2002,"CA-ON-12","68-252"
"1560",2003,"CA-ON-12","68-252"
"1561",2004,"CA-ON-12","68-253"
"1562",2006,"CA-ON-12","68-253"
"1563",2007,"CA-ON-12","68-253"
"1564",2007,"CA-ON-8","68-255"
"1565",2010,"CA-ON-8","68-259"
"1566",2002,"CA-ON-12","68-26"
"1567",2003,"CA-ON-12","68-26"
"1568",2004,"CA-ON-12","68-26"
"1569",2005,"CA-ON-12","68-26"
"1570",2006,"CA-ON-12","68-26"
"1571",2007,"CA-ON-12","68-26"
"1572",2008,"CA-ON-12","68-26"
"1573",2009,"CA-ON-12","68-26"
"1574",2010,"CA-ON-12","68-26"
"1575",2011,"CA-ON-12","68-26"
"1576",2012,"CA-ON-12","68-26"
"1577",2003,"CA-ON-8","68-260"
"1578",2006,"CA-ON-8","68-261"
"1579",2003,"CA-ON-8","68-268"
"1580",2012,"CA-ON-8","68-268"
"1581",2010,"CA-ON-8","68-275"
"1582",2011,"CA-ON-8","68-275"
"1583",2012,"CA-ON-8","68-275"
"1584",2006,"CA-ON-12","68-277"
"1585",2007,"CA-ON-12","68-277"
"1586",2009,"CA-ON-12","68-277"
"1587",2010,"CA-ON-12","68-277"
"1588",2012,"CA-ON-12","68-277"
"1589",2006,"CA-ON-12","68-278"
"1590",2007,"CA-ON-12","68-278"
"1591",2008,"CA-ON-12","68-278"
"1592",2009,"CA-ON-12","68-278"
"1593",2010,"CA-ON-12","68-278"
"1594",2011,"CA-ON-12","68-278"
"1595",2012,"CA-ON-12","68-278"
"1596",2002,"CA-ON-12","68-28"
"1597",2003,"CA-ON-12","68-28"
"1598",2004,"CA-ON-12","68-28"
"1599",2005,"CA-ON-12","68-28"
"1600",2006,"CA-ON-12","68-28"
"1601",2007,"CA-ON-12","68-28"
"1602",2008,"CA-ON-12","68-28"
"1603",2009,"CA-ON-12","68-28"
"1604",2010,"CA-ON-12","68-28"
"1605",2012,"CA-ON-12","68-28"
"1606",2009,"CA-ON-8","68-280"
"1607",2009,"CA-ON-8","68-281"
"1608",2010,"CA-ON-8","68-281"
"1609",2011,"CA-ON-8","68-281"
"1610",2010,"CA-ON-8","68-285"
"1611",2011,"CA-ON-8","68-285"
"1612",2012,"CA-ON-8","68-285"
"1613",2010,"CA-ON-8","68-286"
"1614",2012,"CA-ON-8","68-286"
"1615",2006,"CA-ON-12","68-292"
"1616",2007,"CA-ON-12","68-292"
"1617",2009,"CA-ON-12","68-292"
"1618",2010,"CA-ON-12","68-292"
"1619",2012,"CA-ON-12","68-292"
"1620",2004,"CA-ON-12","68-294"
"1621",2005,"CA-ON-12","68-294"
"1622",2006,"CA-ON-12","68-294"
"1623",2007,"CA-ON-12","68-294"
"1624",2008,"CA-ON-12","68-294"
"1625",2010,"CA-ON-12","68-294"
"1626",2011,"CA-ON-12","68-294"
"1627",2006,"CA-ON-13","68-297"
"1628",2007,"CA-ON-13","68-297"
"1629",2008,"CA-ON-13","68-297"
"1630",2002,"CA-ON-13","68-297"
"1631",2003,"CA-ON-13","68-297"
"1632",2004,"CA-ON-13","68-297"
"1633",2005,"CA-ON-13","68-297"
"1634",2009,"CA-ON-13","68-297"
"1635",2002,"CA-ON-13","68-298"
"1636",2003,"CA-ON-13","68-298"
"1637",2004,"CA-ON-13","68-298"
"1638",2005,"CA-ON-13","68-298"
"1639",2006,"CA-ON-13","68-298"
"1640",2007,"CA-ON-13","68-298"
"1641",2008,"CA-ON-13","68-298"
"1642",2009,"CA-ON-13","68-298"
"1643",2011,"CA-ON-13","68-298"
"1644",2012,"CA-ON-13","68-298"
"1645",2004,"CA-ON-13","68-319"
"1646",2005,"CA-ON-13","68-319"
"1647",2006,"CA-ON-13","68-319"
"1648",2007,"CA-ON-13","68-319"
"1649",2008,"CA-ON-13","68-319"
"1650",2009,"CA-ON-13","68-319"
"1651",2010,"CA-ON-13","68-319"
"1652",2011,"CA-ON-13","68-319"
"1653",2012,"CA-ON-13","68-319"
"1654",2010,"CA-ON-12","68-32"
"1655",2011,"CA-ON-12","68-32"
"1656",2012,"CA-ON-12","68-32"
"1657",2003,"CA-ON-12","68-32"
"1658",2006,"CA-ON-12","68-325"
"1659",2007,"CA-ON-12","68-325"
"1660",2008,"CA-ON-12","68-325"
"1661",2009,"CA-ON-12","68-325"
"1662",2011,"CA-ON-12","68-325"
"1663",2012,"CA-ON-12","68-325"
"1664",2002,"CA-ON-12","68-327"
"1665",2003,"CA-ON-12","68-327"
"1666",2004,"CA-ON-12","68-327"
"1667",2005,"CA-ON-12","68-327"
"1668",2009,"CA-ON-12","68-327"
"1669",2010,"CA-ON-12","68-327"
"1670",2011,"CA-ON-12","68-327"
"1671",2012,"CA-ON-12","68-327"
"1672",2006,"CA-ON-12","68-328"
"1673",2008,"CA-ON-12","68-328"
"1674",2009,"CA-ON-12","68-328"
"1675",2010,"CA-ON-12","68-328"
"1676",2011,"CA-ON-12","68-328"
"1677",2002,"CA-ON-12","68-338"
"1678",2003,"CA-ON-12","68-338"
"1679",2004,"CA-ON-12","68-338"
"1680",2005,"CA-ON-12","68-338"
"1681",2006,"CA-ON-12","68-338"
"1682",2008,"CA-ON-12","68-338"
"1683",2009,"CA-ON-12","68-338"
"1684",2010,"CA-ON-12","68-338"
"1685",2011,"CA-ON-12","68-338"
"1686",2012,"CA-ON-12","68-338"
"1687",2006,"CA-ON-12","68-34"
"1688",2007,"CA-ON-12","68-34"
"1689",2008,"CA-ON-12","68-34"
"1690",2010,"CA-ON-12","68-34"
"1691",2011,"CA-ON-12","68-34"
"1692",2012,"CA-ON-12","68-34"
"1693",2006,"CA-ON-12","68-35"
"1694",2010,"CA-ON-12","68-35"
"1695",2012,"CA-ON-12","68-35"
"1696",2002,"CA-ON-12","68-35"
"1697",2003,"CA-ON-12","68-35"
"1698",2004,"CA-ON-12","68-35"
"1699",2002,"CA-ON-12","68-350"
"1700",2005,"CA-ON-12","68-350"
"1701",2006,"CA-ON-12","68-350"
"1702",2007,"CA-ON-12","68-350"
"1703",2009,"CA-ON-12","68-350"
"1704",2012,"CA-ON-12","68-350"
"1705",2008,"CA-ON-12","68-352"
"1706",2004,"CA-ON-8","68-36"
"1707",2006,"CA-ON-8","68-36"
"1708",2007,"CA-ON-8","68-36"
"1709",2008,"CA-ON-8","68-36"
"1710",2009,"CA-ON-8","68-36"
"1711",2010,"CA-ON-8","68-36"
"1712",2012,"CA-ON-8","68-36"
"1713",2002,"CA-ON-13","68-37"
"1714",2003,"CA-ON-13","68-37"
"1715",2004,"CA-ON-13","68-37"
"1716",2005,"CA-ON-13","68-37"
"1717",2006,"CA-ON-13","68-37"
"1718",2007,"CA-ON-13","68-37"
"1719",2008,"CA-ON-13","68-37"
"1720",2009,"CA-ON-13","68-37"
"1721",2010,"CA-ON-13","68-37"
"1722",2011,"CA-ON-13","68-37"
"1723",2012,"CA-ON-12","68-373"
"1724",2002,"CA-ON-12","68-38"
"1725",2003,"CA-ON-12","68-38"
"1726",2004,"CA-ON-12","68-38"
"1727",2005,"CA-ON-12","68-38"
"1728",2006,"CA-ON-12","68-38"
"1729",2006,"CA-ON-12","68-41"
"1730",2007,"CA-ON-12","68-41"
"1731",2008,"CA-ON-12","68-41"
"1732",2003,"CA-ON-8","68-43"
"1733",2005,"CA-ON-8","68-43"
"1734",2007,"CA-ON-8","68-43"
"1735",2012,"CA-ON-8","68-43"
"1736",2002,"CA-ON-12","68-44"
"1737",2003,"CA-ON-12","68-44"
"1738",2004,"CA-ON-12","68-44"
"1739",2005,"CA-ON-12","68-44"
"1740",2006,"CA-ON-12","68-44"
"1741",2008,"CA-ON-12","68-44"
"1742",2010,"CA-ON-12","68-44"
"1743",2011,"CA-ON-12","68-44"
"1744",2008,"CA-ON-12","68-45"
"1745",2009,"CA-ON-12","68-45"
"1746",2011,"CA-ON-12","68-45"
"1747",2012,"CA-ON-12","68-45"
"1748",2009,"CA-ON-12","68-452"
"1749",2010,"CA-ON-12","68-452"
"1750",2011,"CA-ON-12","68-452"
"1751",2012,"CA-ON-12","68-452"
"1752",2009,"CA-ON-8","68-46"
"1753",2010,"CA-ON-8","68-46"
"1754",2011,"CA-ON-8","68-46"
"1755",2012,"CA-ON-8","68-46"
"1756",2006,"CA-ON-12","68-49"
"1757",2007,"CA-ON-12","68-49"
"1758",2008,"CA-ON-12","68-49"
"1759",2009,"CA-ON-12","68-49"
"1760",2010,"CA-ON-12","68-49"
"1761",2011,"CA-ON-12","68-49"
"1762",2012,"CA-ON-12","68-49"
"1763",2006,"CA-ON-12","68-50"
"1764",2007,"CA-ON-12","68-50"
"1765",2008,"CA-ON-12","68-50"
"1766",2009,"CA-ON-12","68-50"
"1767",2011,"CA-ON-12","68-50"
"1768",2002,"CA-ON-12","68-50"
"1769",2003,"CA-ON-12","68-50"
"1770",2005,"CA-ON-12","68-50"
"1771",2009,"CA-ON-12","68-51"
"1772",2010,"CA-ON-12","68-51"
"1773",2011,"CA-ON-12","68-51"
"1774",2012,"CA-ON-12","68-51"
"1775",2002,"CA-ON-12","68-52"
"1776",2003,"CA-ON-12","68-52"
"1777",2004,"CA-ON-12","68-52"
"1778",2005,"CA-ON-12","68-52"
"1779",2006,"CA-ON-12","68-52"
"1780",2008,"CA-ON-12","68-52"
"1781",2010,"CA-ON-12","68-52"
"1782",2011,"CA-ON-12","68-52"
"1783",2012,"CA-ON-12","68-52"
"1784",2002,"CA-ON-12","68-54"
"1785",2003,"CA-ON-12","68-54"
"1786",2004,"CA-ON-12","68-54"
"1787",2005,"CA-ON-12","68-54"
"1788",2006,"CA-ON-12","68-54"
"1789",2007,"CA-ON-12","68-54"
"1790",2008,"CA-ON-12","68-54"
"1791",2009,"CA-ON-12","68-54"
"1792",2010,"CA-ON-12","68-54"
"1793",2011,"CA-ON-12","68-54"
"1794",2012,"CA-ON-12","68-54"
"1795",2002,"CA-ON-12","68-59"
"1796",2003,"CA-ON-12","68-59"
"1797",2004,"CA-ON-12","68-59"
"1798",2005,"CA-ON-12","68-59"
"1799",2006,"CA-ON-12","68-59"
"1800",2007,"CA-ON-12","68-59"
"1801",2008,"CA-ON-12","68-59"
"1802",2009,"CA-ON-12","68-59"
"1803",2010,"CA-ON-12","68-59"
"1804",2011,"CA-ON-12","68-59"
"1805",2012,"CA-ON-12","68-59"
"1806",2004,"CA-ON-8","68-62"
"1807",2005,"CA-ON-8","68-62"
"1808",2007,"CA-ON-8","68-62"
"1809",2008,"CA-ON-8","68-62"
"1810",2009,"CA-ON-8","68-62"
"1811",2010,"CA-ON-8","68-62"
"1812",2011,"CA-ON-8","68-62"
"1813",2002,"CA-ON-12","68-65"
"1814",2003,"CA-ON-12","68-65"
"1815",2004,"CA-ON-12","68-65"
"1816",2005,"CA-ON-12","68-65"
"1817",2011,"CA-ON-12","68-65"
"1818",2012,"CA-ON-12","68-65"
"1819",2002,"CA-ON-12","68-66"
"1820",2003,"CA-ON-12","68-66"
"1821",2004,"CA-ON-12","68-66"
"1822",2005,"CA-ON-12","68-66"
"1823",2006,"CA-ON-12","68-66"
"1824",2007,"CA-ON-12","68-66"
"1825",2008,"CA-ON-12","68-66"
"1826",2009,"CA-ON-12","68-66"
"1827",2010,"CA-ON-12","68-66"
"1828",2011,"CA-ON-12","68-66"
"1829",2012,"CA-ON-12","68-66"
"1830",2003,"CA-ON-8","68-67"
"1831",2012,"CA-ON-8","68-67"
"1832",2002,"CA-ON-8","68-78"
"1833",2003,"CA-ON-8","68-78"
"1834",2004,"CA-ON-8","68-78"
"1835",2009,"CA-ON-8","68-78"
"1836",2010,"CA-ON-8","68-78"
"1837",2010,"CA-ON-8","68-79"
"1838",2011,"CA-ON-8","68-79"
"1839",2012,"CA-ON-8","68-79"
"1840",2002,"US-PA-28","72-12"
"1841",2003,"US-PA-28","72-12"
"1842",2004,"US-PA-28","72-12"
"1843",2005,"US-PA-28","72-12"
"1844",2006,"US-PA-28","72-12"
"1845",2007,"US-PA-28","72-12"
"1846",2008,"US-PA-28","72-12"
"1847",2009,"US-PA-28","72-12"
"1848",2010,"US-PA-28","72-12"
"1849",2011,"US-PA-28","72-12"
"1850",2012,"US-PA-28","72-12"
"1851",2002,"US-PA-28","72-126"
"1852",2003,"US-PA-28","72-126"
"1853",2004,"US-PA-28","72-126"
"1854",2005,"US-PA-28","72-126"
"1855",2006,"US-PA-28","72-126"
"1856",2007,"US-PA-28","72-126"
"1857",2008,"US-PA-28","72-126"
"1858",2009,"US-PA-28","72-126"
"1859",2010,"US-PA-28","72-126"
"1860",2011,"US-PA-28","72-126"
"1861",2012,"US-PA-28","72-126"
"1862",2002,"US-PA-28","72-127"
"1863",2003,"US-PA-28","72-127"
"1864",2004,"US-PA-28","72-127"
"1865",2006,"US-PA-28","72-127"
"1866",2007,"US-PA-28","72-127"
"1867",2008,"US-PA-28","72-127"
"1868",2010,"US-PA-28","72-127"
"1869",2011,"US-PA-28","72-127"
"1870",2012,"US-PA-28","72-127"
"1871",2002,"US-PA-28","72-132"
"1872",2003,"US-PA-28","72-132"
"1873",2004,"US-PA-28","72-132"
"1874",2005,"US-PA-28","72-132"
"1875",2006,"US-PA-28","72-132"
"1876",2007,"US-PA-28","72-132"
"1877",2008,"US-PA-28","72-132"
"1878",2009,"US-PA-28","72-132"
"1879",2010,"US-PA-28","72-132"
"1880",2011,"US-PA-28","72-132"
"1881",2012,"US-PA-28","72-132"
"1882",2002,"US-PA-28","72-14"
"1883",2003,"US-PA-28","72-14"
"1884",2004,"US-PA-28","72-14"
"1885",2006,"US-PA-28","72-14"
"1886",2008,"US-PA-28","72-14"
"1887",2009,"US-PA-28","72-14"
"1888",2010,"US-PA-28","72-14"
"1889",2011,"US-PA-28","72-14"
"1890",2012,"US-PA-28","72-14"
"1891",2002,"US-PA-28","72-15"
"1892",2003,"US-PA-28","72-15"
"1893",2004,"US-PA-28","72-15"
"1894",2005,"US-PA-28","72-15"
"1895",2006,"US-PA-28","72-15"
"1896",2007,"US-PA-28","72-15"
"1897",2008,"US-PA-28","72-15"
"1898",2009,"US-PA-28","72-15"
"1899",2010,"US-PA-28","72-15"
"1900",2011,"US-PA-28","72-15"
"1901",2012,"US-PA-28","72-15"
"1902",2002,"US-PA-28","72-155"
"1903",2003,"US-PA-28","72-155"
"1904",2004,"US-PA-28","72-155"
"1905",2005,"US-PA-28","72-155"
"1906",2006,"US-PA-28","72-155"
"1907",2007,"US-PA-28","72-155"
"1908",2008,"US-PA-28","72-155"
"1909",2009,"US-PA-28","72-155"
"1910",2010,"US-PA-28","72-155"
"1911",2011,"US-PA-28","72-155"
"1912",2012,"US-PA-28","72-155"
"1913",2004,"US-PA-28","72-18"
"1914",2005,"US-PA-28","72-18"
"1915",2007,"US-PA-28","72-18"
"1916",2008,"US-PA-28","72-18"
"1917",2009,"US-PA-28","72-18"
"1918",2010,"US-PA-28","72-18"
"1919",2004,"US-PA-28","72-19"
"1920",2005,"US-PA-28","72-19"
"1921",2006,"US-PA-28","72-19"
"1922",2007,"US-PA-28","72-19"
"1923",2008,"US-PA-28","72-19"
"1924",2009,"US-PA-28","72-19"
"1925",2011,"US-PA-28","72-19"
"1926",2012,"US-PA-28","72-19"
"1927",2003,"US-PA-28","72-20"
"1928",2006,"US-PA-28","72-20"
"1929",2007,"US-PA-28","72-20"
"1930",2010,"US-PA-28","72-20"
"1931",2011,"US-PA-28","72-20"
"1932",2012,"US-PA-28","72-20"
"1933",2002,"US-PA-28","72-22"
"1934",2003,"US-PA-28","72-22"
"1935",2004,"US-PA-28","72-22"
"1936",2005,"US-PA-28","72-22"
"1937",2006,"US-PA-28","72-22"
"1938",2007,"US-PA-28","72-22"
"1939",2008,"US-PA-28","72-22"
"1940",2009,"US-PA-28","72-22"
"1941",2010,"US-PA-28","72-22"
"1942",2011,"US-PA-28","72-22"
"1943",2012,"US-PA-28","72-22"
"1944",2002,"US-PA-28","72-23"
"1945",2003,"US-PA-28","72-23"
"1946",2004,"US-PA-28","72-23"
"1947",2005,"US-PA-28","72-23"
"1948",2006,"US-PA-28","72-23"
"1949",2007,"US-PA-28","72-23"
"1950",2008,"US-PA-28","72-23"
"1951",2009,"US-PA-28","72-23"
"1952",2010,"US-PA-28","72-23"
"1953",2011,"US-PA-28","72-23"
"1954",2012,"US-PA-28","72-23"
"1955",2002,"US-PA-28","72-28"
"1956",2003,"US-PA-28","72-28"
"1957",2004,"US-PA-28","72-28"
"1958",2008,"US-PA-28","72-28"
"1959",2009,"US-PA-28","72-28"
"1960",2010,"US-PA-28","72-28"
"1961",2011,"US-PA-28","72-28"
"1962",2012,"US-PA-28","72-28"
"1963",2005,"US-PA-28","72-28"
"1964",2002,"US-PA-28","72-29"
"1965",2003,"US-PA-28","72-29"
"1966",2004,"US-PA-28","72-29"
"1967",2005,"US-PA-28","72-29"
"1968",2006,"US-PA-28","72-29"
"1969",2007,"US-PA-28","72-29"
"1970",2008,"US-PA-28","72-29"
"1971",2009,"US-PA-28","72-29"
"1972",2010,"US-PA-28","72-29"
"1973",2011,"US-PA-28","72-29"
"1974",2012,"US-PA-28","72-29"
"1975",2010,"US-PA-28","72-31"
"1976",2011,"US-PA-28","72-31"
"1977",2012,"US-PA-28","72-31"
"1978",2002,"US-PA-28","72-31"
"1979",2003,"US-PA-28","72-31"
"1980",2004,"US-PA-28","72-31"
"1981",2005,"US-PA-28","72-31"
"1982",2006,"US-PA-28","72-31"
"1983",2007,"US-PA-28","72-31"
"1984",2008,"US-PA-28","72-31"
"1985",2009,"US-PA-28","72-31"
"1986",2002,"US-PA-28","72-33"
"1987",2003,"US-PA-28","72-33"
"1988",2004,"US-PA-28","72-33"
"1989",2005,"US-PA-28","72-33"
"1990",2006,"US-PA-28","72-33"
"1991",2007,"US-PA-28","72-33"
"1992",2008,"US-PA-28","72-33"
"1993",2009,"US-PA-28","72-33"
"1994",2010,"US-PA-28","72-33"
"1995",2011,"US-PA-28","72-33"
"1996",2012,"US-PA-28","72-33"
"1997",2002,"US-PA-28","72-34"
"1998",2003,"US-PA-28","72-34"
"1999",2004,"US-PA-28","72-34"
"2000",2005,"US-PA-28","72-34"
"2001",2006,"US-PA-28","72-34"
"2002",2008,"US-PA-28","72-34"
"2003",2009,"US-PA-28","72-34"
"2004",2010,"US-PA-28","72-34"
"2005",2011,"US-PA-28","72-34"
"2006",2012,"US-PA-28","72-34"
"2007",2009,"US-PA-28","72-38"
"2008",2010,"US-PA-28","72-38"
"2009",2012,"US-PA-28","72-38"
"2010",2002,"US-PA-28","72-38"
"2011",2003,"US-PA-28","72-38"
"2012",2004,"US-PA-28","72-38"
"2013",2005,"US-PA-28","72-38"
"2014",2006,"US-PA-28","72-38"
"2015",2008,"US-PA-28","72-38"
"2016",2003,"US-PA-28","72-41"
"2017",2004,"US-PA-28","72-41"
"2018",2005,"US-PA-28","72-41"
"2019",2006,"US-PA-28","72-41"
"2020",2007,"US-PA-28","72-41"
"2021",2008,"US-PA-28","72-41"
"2022",2009,"US-PA-28","72-41"
"2023",2010,"US-PA-28","72-41"
"2024",2011,"US-PA-28","72-41"
"2025",2012,"US-PA-28","72-41"
"2026",2004,"US-PA-28","72-43"
"2027",2005,"US-PA-28","72-43"
"2028",2006,"US-PA-28","72-43"
"2029",2007,"US-PA-28","72-43"
"2030",2008,"US-PA-28","72-43"
"2031",2009,"US-PA-28","72-43"
"2032",2010,"US-PA-28","72-43"
"2033",2011,"US-PA-28","72-43"
"2034",2002,"US-PA-28","72-43"
"2035",2002,"US-PA-28","72-60"
"2036",2003,"US-PA-28","72-60"
"2037",2004,"US-PA-28","72-60"
"2038",2005,"US-PA-28","72-60"
"2039",2006,"US-PA-28","72-60"
"2040",2007,"US-PA-28","72-60"
"2041",2008,"US-PA-28","72-60"
"2042",2009,"US-PA-28","72-60"
"2043",2010,"US-PA-28","72-60"
"2044",2011,"US-PA-28","72-60"
"2045",2012,"US-PA-28","72-60"
"2046",2006,"US-PA-28","72-67"
"2047",2007,"US-PA-28","72-67"
"2048",2008,"US-PA-28","72-67"
"2049",2009,"US-PA-28","72-67"
"2050",2010,"US-PA-28","72-67"
"2051",2011,"US-PA-28","72-67"
"2052",2012,"US-PA-28","72-67"
"2053",2002,"US-PA-28","72-83"
"2054",2003,"US-PA-28","72-83"
"2055",2004,"US-PA-28","72-83"
"2056",2005,"US-PA-28","72-83"
"2057",2006,"US-PA-28","72-83"
"2058",2007,"US-PA-28","72-83"
"2059",2008,"US-PA-28","72-83"
"2060",2009,"US-PA-28","72-83"
"2061",2010,"US-PA-28","72-83"
"2062",2011,"US-PA-28","72-83"
"2063",2012,"US-PA-28","72-83"
"2064",2002,"US-PA-28","72-9"
"2065",2003,"US-PA-28","72-9"
"2066",2004,"US-PA-28","72-9"
"2067",2005,"US-PA-28","72-9"
"2068",2006,"US-PA-28","72-9"
"2069",2007,"US-PA-28","72-9"
"2070",2008,"US-PA-28","72-9"
"2071",2009,"US-PA-28","72-9"
"2072",2010,"US-PA-28","72-9"
"2073",2011,"US-PA-28","72-9"
"2074",2012,"US-PA-28","72-9"
"2075",2002,"US-PA-28","72-90"
"2076",2003,"US-PA-28","72-90"
"2077",2004,"US-PA-28","72-90"
"2078",2005,"US-PA-28","72-90"
"2079",2006,"US-PA-28","72-90"
"2080",2007,"US-PA-28","72-90"
"2081",2008,"US-PA-28","72-90"
"2082",2009,"US-PA-28","72-90"
"2083",2010,"US-PA-28","72-90"
"2084",2011,"US-PA-28","72-90"
"2085",2012,"US-PA-28","72-90"
"2086",2002,"CA-QC-12","76-1"
"2087",2003,"CA-QC-12","76-1"
"2088",2004,"CA-QC-12","76-1"
"2089",2005,"CA-QC-12","76-1"
"2090",2006,"CA-QC-12","76-1"
"2091",2007,"CA-QC-12","76-1"
"2092",2008,"CA-QC-12","76-1"
"2093",2009,"CA-QC-12","76-1"
"2094",2010,"CA-QC-12","76-1"
"2095",2011,"CA-QC-12","76-1"
"2096",2012,"CA-QC-12","76-1"
"2097",2002,"CA-QC-14","76-10"
"2098",2003,"CA-QC-14","76-10"
"2099",2004,"CA-QC-14","76-10"
"2100",2005,"CA-QC-14","76-10"
"2101",2006,"CA-QC-14","76-10"
"2102",2007,"CA-QC-14","76-10"
"2103",2008,"CA-QC-14","76-10"
"2104",2009,"CA-QC-14","76-10"
"2105",2003,"CA-QC-14","76-11"
"2106",2004,"CA-QC-14","76-11"
"2107",2005,"CA-QC-14","76-11"
"2108",2006,"CA-QC-14","76-11"
"2109",2007,"CA-QC-14","76-11"
"2110",2012,"CA-QC-14","76-11"
"2111",2005,"CA-QC-14","76-110"
"2112",2006,"CA-QC-14","76-110"
"2113",2007,"CA-QC-14","76-110"
"2114",2002,"CA-QC-12","76-112"
"2115",2004,"CA-QC-12","76-112"
"2116",2005,"CA-QC-12","76-112"
"2117",2006,"CA-QC-12","76-112"
"2118",2002,"CA-QC-12","76-113"
"2119",2004,"CA-QC-12","76-113"
"2120",2005,"CA-QC-12","76-113"
"2121",2006,"CA-QC-12","76-113"
"2122",2007,"CA-QC-12","76-113"
"2123",2008,"CA-QC-12","76-113"
"2124",2009,"CA-QC-12","76-113"
"2125",2010,"CA-QC-12","76-113"
"2126",2012,"CA-QC-12","76-113"
"2127",2003,"CA-QC-12","76-115"
"2128",2004,"CA-QC-12","76-115"
"2129",2005,"CA-QC-12","76-117"
"2130",2006,"CA-QC-12","76-117"
"2131",2007,"CA-QC-12","76-117"
"2132",2008,"CA-QC-12","76-117"
"2133",2002,"CA-QC-12","76-118"
"2134",2003,"CA-QC-12","76-118"
"2135",2004,"CA-QC-12","76-118"
"2136",2005,"CA-QC-12","76-118"
"2137",2006,"CA-QC-12","76-118"
"2138",2007,"CA-QC-14","76-124"
"2139",2009,"CA-QC-14","76-124"
"2140",2010,"CA-QC-14","76-124"
"2141",2011,"CA-QC-14","76-124"
